client_id,round,timestamp,mu_boundary_hits_min,final_train_loss,mu_range_min,mu_range_mean,mu_adaptations,final_mu,loss,final_learning_rate,mu_boundary_hits_max,mu_decreases,final_val_loss,epochs_trained,mu_increases,mu_adaptation_rate,mu_range_max
305869,4,2025-08-29T12:56:22.026887,0,0.3005367529708166,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.28281850635735206,0.0004921457902821578,0,5,0.20833266292655817,10,0,0.16666666666666666,0.05
579795,4,2025-08-29T12:56:22.026893,0,0.2510270811269216,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.26369115414324207,0.0004921457902821578,0,10,0.19026506882087857,10,0,0.25,0.05
755626,5,2025-08-29T12:57:47.168942,0,0.29165704477105964,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.2679728540214332,0.0004877641290737884,0,10,0.16454118006210078,10,0,0.25,0.05
160027,5,2025-08-29T12:57:47.168961,0,0.23775756094142148,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.24750012468647906,0.0004877641290737884,0,10,0.20019959409301724,10,0,0.25,0.05
305869,5,2025-08-29T12:57:47.168968,0,0.25895253227308046,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.25016202365637097,0.0004877641290737884,0,5,0.18835612308530128,10,0,0.125,0.05
544731,5,2025-08-29T12:57:47.168975,0,0.2814120940341903,0.013107200000000006,0.02822445714285715,6,0.013107200000000006,0.26349459496181993,0.0004877641290737884,0,6,0.18583517547311454,10,0,0.2,0.05
951946,5,2025-08-29T12:57:47.168981,0,0.28680895822357544,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.28058191464508425,0.0004877641290737884,0,5,0.16350449279205723,10,0,0.125,0.05
1400,5,2025-08-29T12:57:47.168986,0,0.24665394079249411,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.2423792488140998,0.0004877641290737884,0,10,0.19136716774966275,10,0,0.25,0.05
579795,5,2025-08-29T12:57:47.168992,0,0.21678171056174786,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.23148796258964272,0.0004877641290737884,0,10,0.17814360976386137,10,0,0.2,0.05
123935,5,2025-08-29T12:57:47.168997,0,0.26729230529495646,0.005368709120000003,0.02077501486545455,10,0.005368709120000003,0.25034336764365434,0.0004877641290737884,0,10,0.21754080778271023,10,0,0.2,0.05
694039,6,2025-08-29T12:59:01.396006,0,0.2725576164265962,0.016384000000000006,0.030744000000000007,5,0.016384000000000006,0.25594410116544514,0.00048244412147206283,0,5,0.20386729721958238,10,0,0.125,0.05
